episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
283,400.0,450,166888,0.15,0.12862396344080962,582.0775130830001,True,False
284,1040.0,877,167765,0.15,0.1420677547347328,584.992704458,True,False
285,540.0,457,168222,0.15,0.13327083909851417,586.448615417,True,False
286,570.0,580,168802,0.15,0.15316140886781546,588.3896617500001,True,False
287,290.0,358,169160,0.15,0.11640320664478673,589.642783292,True,False
288,1140.0,864,170024,0.15,0.13646613401188343,592.4577882499999,True,False
289,230.0,338,170362,0.15,0.15453213173896074,593.5374855829999,True,False
290,850.0,755,171117,0.15,0.13652606300576023,595.974409,True,False
291,1270.0,775,171892,0.15,0.1436272072365757,598.5123931669999,True,False
292,530.0,551,172443,0.15,0.14712712115669338,600.308785667,True,False
293,760.0,751,173194,0.15,0.1327697014277603,602.7942267080001,True,False
294,640.0,699,173893,0.15,0.14751243072961057,605.0823213750001,True,False
295,1470.0,826,174719,0.15,0.13334807068181848,607.997156,True,False
296,1100.0,616,175335,0.15,0.11663287777647183,610.005680417,True,False
297,330.0,445,175780,0.15,0.14027362840715796,611.491379958,True,False
298,550.0,532,176312,0.15,0.13899150325503565,613.586534333,True,False
299,530.0,527,176839,0.15,0.14863623469669857,615.347277875,True,False
300,1150.0,733,177572,0.15,0.127663990067642,617.750962292,True,False
301,290.0,401,177973,0.15,0.15358551818877458,620.111006875,True,False
302,1190.0,730,178703,0.15,0.1276479944852846,622.569020042,True,False
303,370.0,410,179113,0.15,0.14916172477154477,623.974811167,True,False
304,1110.0,606,179719,0.15,0.13288006678667685,625.9297546670001,True,False
305,1290.0,662,180381,0.15,0.13218804613788085,628.136095917,True,False
306,380.0,439,180820,0.15,0.128789911266755,629.6003408329999,True,False
307,440.0,436,181256,0.15,0.1285716554132897,631.0136652499999,True,False
308,420.0,452,181708,0.15,0.1499321389679624,632.4765267920001,True,False
309,1000.0,705,182413,0.15,0.13512439064850862,634.803442458,True,False
310,570.0,566,182979,0.15,0.12908632136511464,636.6593711669999,True,False
311,2410.0,993,183972,0.15,0.1446635986614718,639.8461813749999,True,False
312,890.0,617,184589,0.15,0.14914822903788322,641.833811542,True,False
313,630.0,631,185220,0.15,0.1425204807538775,643.8520159579999,True,False
314,580.0,656,185876,0.15,0.13971419250819742,645.9754470419999,True,False
315,520.0,542,186418,0.15,0.14438602812588214,647.7652092080001,True,False
316,800.0,590,187008,0.15,0.13048791491451697,649.697706042,True,False
317,1310.0,1128,188136,0.15,0.14254827111140422,653.348583583,True,False
318,1000.0,896,189032,0.15,0.1395771585271827,656.2559864579999,True,False
319,2120.0,953,189985,0.15,0.13692489192046287,659.338596875,True,False
320,610.0,528,190513,0.15,0.12322855785940633,661.0882641249999,True,False
321,1240.0,811,191324,0.15,0.14350293914379159,663.729378417,True,False
322,550.0,541,191865,0.15,0.15478758863000958,665.4945463329999,True,False
323,660.0,579,192444,0.15,0.11049946028867673,667.4323292079999,True,False
324,660.0,539,192983,0.15,0.14306165836056445,669.2018542920001,True,False
325,490.0,420,193403,0.15,0.10150681226736023,670.5935806250001,True,False
326,880.0,881,194284,0.15,0.132425189001393,675.110124292,True,False
327,1600.0,1067,195351,0.15,0.13734127120359949,678.6747462500001,True,False
328,630.0,535,195886,0.15,0.13792077347691825,680.4841600830001,True,False
329,460.0,469,196355,0.15,0.13363838135304615,682.042853,True,False
330,1350.0,894,197249,0.15,0.12422990991451245,685.0819837079999,True,False
331,390.0,440,197689,0.15,0.14414460143413055,686.9052909170001,True,False
332,720.0,681,198370,0.15,0.12142616628723986,689.167408958,True,False
333,440.0,388,198758,0.15,0.13476091511931615,690.3954795830001,True,False
334,880.0,910,199668,0.15,0.12449009687917535,693.4988568330001,True,False
335,910.0,841,200509,0.15,0.12840619093428055,696.225118083,True,False
336,610.0,642,201151,0.15,0.1315849857928697,698.3542256669999,True,False
337,350.0,356,201507,0.15,0.15646635090116034,699.5697504169999,True,False
338,1180.0,823,202330,0.15,0.13554020267594785,702.275764958,True,False
339,790.0,710,203040,0.15,0.10945060812564714,704.723185,True,False
340,870.0,703,203743,0.15,0.15861231990158559,706.994482083,True,False
341,1260.0,725,204468,0.15,0.12757859058719087,709.3593668750001,True,False
342,360.0,464,204932,0.15,0.11650539502694175,710.903434958,True,False
343,1170.0,705,205637,0.15,0.15176573021083392,713.2217656670001,True,False
344,750.0,693,206330,0.15,0.14163547891025255,715.475726583,True,False
345,1220.0,1122,207452,0.15,0.12163446900630337,719.1299902920001,True,False
346,930.0,726,208178,0.15,0.12242722242700131,721.4755415830001,True,False
347,280.0,364,208542,0.15,0.10066822824160476,722.7340109999999,True,False
348,820.0,750,209292,0.15,0.1459350563050743,725.1769244169999,True,False
349,580.0,559,209851,0.15,0.12516951542213667,727.130783917,True,False
350,340.0,437,210288,0.15,0.14972864514724774,728.6221644579999,True,False
351,1030.0,713,211001,0.15,0.11891532722818718,731.606681417,True,False
352,1290.0,735,211736,0.15,0.13616496054253177,734.2909371249999,True,False
353,560.0,609,212345,0.15,0.13361012090095564,736.340833375,True,False
354,770.0,614,212959,0.15,0.13903382911158155,738.360293583,True,False
355,480.0,454,213413,0.15,0.12935857030383327,739.937397667,True,False
356,1730.0,886,214299,0.15,0.12650326116018976,742.81052025,True,False
357,510.0,517,214816,0.15,0.12054322129831864,744.50663675,True,False
358,700.0,622,215438,0.15,0.11352698694794408,746.64592375,True,False
359,360.0,443,215881,0.15,0.1373304864979005,748.120370875,True,False
360,550.0,464,216345,0.15,0.11739955195386348,749.6320886249999,True,False
361,1080.0,782,217127,0.15,0.11957594170593298,752.2575901250001,True,False
362,1260.0,844,217971,0.15,0.11625393891433404,755.1331309579999,True,False
363,930.0,910,218881,0.15,0.10735798976792578,758.076381042,True,False
364,1640.0,999,219880,0.15,0.12721204441785813,761.406806333,True,False
365,870.0,1115,220995,0.15,0.10775578921834986,765.0872809169999,True,False
366,1180.0,878,221873,0.15,0.1295453392561864,767.9451560829999,True,False
367,510.0,415,222288,0.15,0.11254651174665643,769.3610325420001,True,False
368,520.0,479,222767,0.15,0.10390594027185139,770.9570942500001,True,False
369,300.0,424,223191,0.15,0.1124390642562846,772.3056587079999,True,False
370,510.0,490,223681,0.15,0.12870788786227141,773.9487310830001,True,False
371,1490.0,866,224547,0.15,0.11063941518120744,776.80678075,True,False
372,840.0,682,225229,0.15,0.11761963007459689,779.034096708,True,False
373,600.0,608,225837,0.15,0.11240645357113528,781.1165003750001,True,False
374,660.0,681,226518,0.15,0.11632298577357741,783.330977792,True,False
375,1550.0,912,227430,0.15,0.12841845449190914,786.320736583,True,False
376,460.0,467,227897,0.15,0.1096456779851618,788.7446625829999,True,False
377,540.0,649,228546,0.15,0.11264958706350973,790.9499058749999,True,False
378,1010.0,810,229356,0.15,0.10492633850648632,793.69676975,True,False
379,620.0,498,229854,0.15,0.11483270762067649,795.5019524999999,True,False
380,430.0,509,230363,0.15,0.12536358039855489,797.198808875,True,False
381,1440.0,848,231211,0.15,0.12341803916782704,800.137966167,True,False
382,460.0,410,231621,0.15,0.09853572374915034,801.513879708,True,False
383,680.0,664,232285,0.15,0.11503898583532098,803.6870990420001,True,False
384,400.0,535,232820,0.15,0.12508448695680544,805.6493389999999,True,False
385,790.0,687,233507,0.15,0.12810895890433188,808.143776,True,False
386,360.0,436,233943,0.15,0.11802520073198397,809.5689193750001,True,False
387,1600.0,1212,235155,0.15,0.12355911898312985,813.7593907500001,True,False
388,1730.0,973,236128,0.15,0.12433397678322479,817.3237902500001,True,False
